person_id,full_name,email,status,hire_date,termination_date,termination_type,employment_type,company_id
322,Judy Sanchez,kevinclayton@example.org,Active,2024-03-10,,,Part-Time,1
323,Shannon Malone,sullivannicholas@example.com,Active,2025-03-29,,,Full-Time,1
324,Adam Jackson,pbruce@example.com,Active,2024-08-17,,,Full-Time,1
325,Shannon Davis,hallrachel@example.net,Active,2025-02-02,,,Full-Time,1
326,Karen Williams,cohenjuan@example.net,Terminated,2023-07-29,2023-09-13,Involuntary,Full-Time,1
327,Amanda Mcfarland,alexis39@example.org,Active,2024-07-13,,,Full-Time,1
328,Michelle Sanders,evansanne@example.net,Active,2025-01-26,,,Full-Time,1
329,Jasmine Mosley,patrick21@example.net,Active,2025-06-10,,,Full-Time,1
330,Haley Davis,marypeterson@example.net,Active,2024-03-23,,,Full-Time,1
331,Jennifer Ayala,walterskristen@example.com,Active,2025-08-28,,,Full-Time,1
332,Henry Pugh MD,nmiller@example.com,Active,2025-04-05,,,Full-Time,1
333,Michelle Miller,normanbowers@example.org,Active,2025-02-26,,,Full-Time,1
334,Emily Rodriguez,hahnsean@example.com,Active,2024-02-22,,,Full-Time,1
335,Brandon Jordan,fgarcia@example.com,Active,2025-09-09,,,Full-Time,1
336,Linda Mueller,asmith@example.com,Active,2025-08-11,,,Full-Time,1
337,Misty Hansen,ashleyjackson@example.com,Terminated,2023-06-23,2025-02-04,Involuntary,Full-Time,1
338,Derrick Adams,bryanhamilton@example.com,Active,2025-12-30,,,Full-Time,1
339,Richard Ward,jennifersimpson@example.net,Active,2025-11-28,,,Part-Time,1
340,Brian Torres,ncook@example.com,Active,2025-11-25,,,Full-Time,1
341,Erin Cook,kevinmorrison@example.net,Active,2025-03-27,,,Full-Time,1
342,Ernest Oconnell,kelly79@example.org,Active,2025-12-20,,,Part-Time,1
343,Douglas Hartman,daniel93@example.net,Active,2025-10-15,,,Full-Time,1
344,Catherine Saunders MD,nhahn@example.com,Terminated,2025-01-26,2025-03-04,Voluntary,Full-Time,1
345,Sandra Jones,ichambers@example.net,Active,2023-02-04,,,Full-Time,1
346,David Moore,emccormick@example.com,Terminated,2025-04-04,2025-04-20,Voluntary,Full-Time,1
347,Karen Morales DDS,ystephens@example.com,Terminated,2021-03-04,2024-09-20,Voluntary,Full-Time,1
348,Robin Wheeler,rodriguezjohn@example.net,Active,2025-03-12,,,Full-Time,1
349,Matthew Williams,vrasmussen@example.com,Active,2025-07-04,,,Full-Time,1
350,Brett Walker,seanmyers@example.net,Terminated,2020-10-20,2024-01-13,Voluntary,Full-Time,1
351,Kathryn Cooper,webbkenneth@example.org,Active,2025-07-25,,,Full-Time,1
352,Todd Thomas,matthew38@example.com,Active,2025-12-31,,,Full-Time,1
353,Brent Bowen,tflores@example.org,Terminated,2025-05-01,2025-11-02,Voluntary,Full-Time,1
354,Ashley Sweeney,byrdfrank@example.net,Active,2025-10-24,,,Full-Time,1
355,Christopher Moore,omullen@example.com,Active,2025-05-11,,,Full-Time,1
356,Charlotte Sandoval,njohnson@example.org,Active,2025-03-28,,,Contractor,1
357,Jeffrey Smith,jamiegoodwin@example.org,Active,2024-03-12,,,Full-Time,1
358,Rebecca Herrera,mark71@example.com,Active,2023-01-03,,,Full-Time,1
359,Katherine Church,candice96@example.net,Active,2025-05-20,,,Full-Time,1
360,Harold Ellis,lisamccarthy@example.com,Active,2025-02-10,,,Full-Time,1
361,Leslie Powers,david41@example.org,Active,2025-01-16,,,Contractor,1
362,Charles Price,baileyhenderson@example.com,Terminated,2025-12-16,2025-12-30,Voluntary,Full-Time,1
363,Melissa Brewer,angelaburns@example.org,Terminated,2025-02-27,2025-05-17,Voluntary,Full-Time,1
364,Ryan Harvey,stephanie72@example.org,Active,2023-12-24,,,Full-Time,1
365,Tracey Wagner,fortiz@example.com,Active,2025-06-08,,,Full-Time,1
366,Jill Jackson,flynnjeffrey@example.org,Active,2023-02-14,,,Part-Time,1
367,Joshua Jackson,xcunningham@example.com,Active,2025-04-28,,,Full-Time,1
368,Ashley Wilson,amber07@example.net,Active,2025-10-20,,,Full-Time,1
369,Jeffery Fitzgerald,kennethkidd@example.com,Active,2025-02-06,,,Full-Time,1
370,Scott Miller,rowejoel@example.net,Terminated,2025-08-15,2025-11-10,Involuntary,Full-Time,1
371,Heather Page,imartin@example.org,Active,2025-02-06,,,Full-Time,1
372,Renee Hudson,candice25@example.net,Terminated,2024-07-31,2024-08-04,Voluntary,Contractor,1
373,Kenneth Farley,taylorkaren@example.com,Active,2022-10-03,,,Contractor,1
374,Wendy Camacho,jacquelineanderson@example.org,Active,2022-11-17,,,Contractor,1
375,Sandra Juarez,kburns@example.net,Active,2025-09-24,,,Full-Time,1
376,Jason Hayes,powellkara@example.net,Active,2024-01-05,,,Contractor,1
377,Jackie Clements,brandi17@example.net,Active,2024-03-23,,,Full-Time,1
378,Heather Brown,brobinson@example.org,Active,2024-01-24,,,Full-Time,1
379,Frank Campbell MD,ashleewashington@example.com,Active,2025-01-24,,,Contractor,1
380,Pamela Williams,ksmith@example.com,Active,2024-06-17,,,Full-Time,1
381,William Patterson,nicoleturner@example.com,Active,2025-04-11,,,Contractor,1
382,Isaac Miller,brettgarrett@example.net,Active,2024-03-20,,,Part-Time,1
383,Cynthia Rios,smiththomas@example.org,Terminated,2025-08-29,2025-09-15,Involuntary,Contractor,1
384,Kelly Wallace,dominguezlisa@example.com,Active,2025-08-25,,,Part-Time,1
385,Karen Perez,crosscurtis@example.com,Active,2025-08-26,,,Full-Time,1
386,Edwin Reyes,darlenebyrd@example.org,Terminated,2025-02-02,2025-02-16,Involuntary,Part-Time,1
387,Alejandra Santos,nbell@example.net,Terminated,2025-01-06,2025-02-04,Voluntary,Full-Time,1
388,Tamara Jensen,fheath@example.org,Terminated,2022-04-27,2025-01-27,Voluntary,Full-Time,1
389,Bryce Blair,sylvia52@example.org,Terminated,2022-09-23,2024-06-15,Voluntary,Full-Time,1
390,Bradley Tran,kimberly04@example.org,Active,2024-01-23,,,Full-Time,1
391,Katrina Adkins,debbie37@example.com,Active,2025-12-05,,,Part-Time,1
392,Jonathan Wheeler,hatfieldsarah@example.org,Terminated,2023-08-24,2025-10-30,Voluntary,Part-Time,1
393,Ryan Fisher,kathrynbest@example.org,Active,2025-01-08,,,Full-Time,1
394,Austin Baker,livingstonstacy@example.com,Active,2024-12-04,,,Full-Time,1
395,Lori Mason,zhenderson@example.org,Active,2025-11-29,,,Full-Time,1
396,Kimberly Hernandez,collinswilliam@example.org,Active,2025-08-15,,,Full-Time,1
397,Brittney Murphy,collinssamuel@example.org,Active,2023-08-13,,,Full-Time,1
398,Brandon Hamilton,dsalazar@example.com,Active,2025-04-10,,,Full-Time,1
399,Mary Thompson,zimmermanjacqueline@example.org,Terminated,2021-10-17,2023-12-24,Voluntary,Full-Time,1
400,Gregory Holmes PhD,gary24@example.net,Active,2025-09-08,,,Full-Time,1
401,Patricia Johnson,enelson@example.com,Terminated,2025-01-06,2025-02-06,Voluntary,Full-Time,1
402,Laura Jones,ddixon@example.com,Active,2024-06-05,,,Full-Time,1
403,Carol Moore,shannonemily@example.org,Active,2025-05-10,,,Contractor,1
404,Jordan Williams,sanchezthomas@example.com,Active,2025-05-05,,,Full-Time,1
405,Cassidy Horne,tranrobin@example.net,Active,2022-09-07,,,Full-Time,1
406,Courtney Wright,joseph19@example.com,Active,2023-01-03,,,Full-Time,1
407,Michael Williams,lindajarvis@example.com,Active,2025-03-25,,,Full-Time,1
408,John Campbell,mark87@example.org,Active,2022-05-08,,,Full-Time,1
409,Eddie Mueller,stevenvargas@example.com,Active,2024-08-19,,,Full-Time,1
410,Dr. Morgan Payne PhD,adamortiz@example.org,Active,2023-12-28,,,Full-Time,1
411,Makayla Steele,tapiaaaron@example.net,Active,2025-03-15,,,Full-Time,1
412,Oscar Parker,alyssaallen@example.com,Terminated,2020-08-06,2023-08-09,Voluntary,Full-Time,1
413,Valerie Thomas,christopher38@example.com,Active,2025-06-16,,,Full-Time,1
414,Jacqueline Villegas,carpenterwilliam@example.net,Terminated,2023-10-01,2024-04-09,Voluntary,Full-Time,1
415,Angela Bradley,ibates@example.org,Active,2025-10-23,,,Contractor,1
416,Samuel Howe,vhaynes@example.com,Terminated,2025-02-21,2025-10-15,Involuntary,Full-Time,1
417,Dillon Jones,derekcarrillo@example.org,Active,2025-07-30,,,Contractor,1
418,Christopher Owens,wmartinez@example.org,Active,2024-01-31,,,Full-Time,1
419,John Phelps,mooregina@example.net,Active,2025-05-29,,,Full-Time,1
420,Amanda Huff,eddie35@example.com,Active,2024-01-20,,,Full-Time,1
421,Megan Green,anthonysullivan@example.com,Active,2023-09-03,,,Part-Time,1
422,Krista Davis,laradonald@example.org,Terminated,2024-01-06,2024-03-04,Voluntary,Full-Time,1
423,Richard Walker,madisonwatson@example.net,Active,2024-06-05,,,Full-Time,1
424,Angela Willis,johnsoncaleb@example.net,Terminated,2023-08-06,2025-09-02,Voluntary,Contractor,1
425,Carl Stein,david70@example.org,Active,2025-01-13,,,Full-Time,1
426,Jessica Ramsey,rjohnson@example.com,Active,2022-03-25,,,Full-Time,1
427,Daniel Lopez,sean20@example.net,Terminated,2022-06-24,2022-09-29,Voluntary,Full-Time,1
428,Danielle Phillips,eandrade@example.org,Active,2025-07-25,,,Contractor,1
429,James Barnes,crystalpham@example.org,Active,2024-07-16,,,Full-Time,1
430,Rachael Howard DDS,kcooper@example.net,Terminated,2024-01-08,2024-06-26,Involuntary,Full-Time,1
431,Devin Johnson,anthonycochran@example.com,Terminated,2024-02-17,2025-10-14,Voluntary,Contractor,1
432,William Moreno,terrigarcia@example.net,Active,2025-09-20,,,Full-Time,1
433,Joseph Moody,gallagherstacie@example.net,Terminated,2022-01-20,2022-06-09,Involuntary,Full-Time,1
434,Rebecca Kelly,gregorywatkins@example.net,Active,2025-01-12,,,Part-Time,1
435,Suzanne Johnson,stacey92@example.net,Active,2021-07-04,,,Full-Time,1
436,Sara Cochran,lweaver@example.com,Active,2025-08-11,,,Full-Time,1
437,Anthony Guzman,foxaaron@example.net,Terminated,2024-09-24,2024-09-25,Voluntary,Full-Time,1
438,Carlos Love,brian29@example.net,Active,2025-07-14,,,Full-Time,1
439,Patricia Mathis,susan56@example.net,Active,2024-08-01,,,Contractor,1
440,Eric Taylor,jessicakim@example.net,Active,2025-01-21,,,Contractor,1
441,Marie Thompson,jeffrey92@example.com,Active,2023-02-16,,,Full-Time,1
442,Michael Anderson,rushstacy@example.com,Active,2023-12-28,,,Contractor,1
443,Patricia Bradley,carriemccall@example.net,Terminated,2023-09-09,2023-11-12,Involuntary,Full-Time,1
444,Keith Zuniga,markmiller@example.com,Terminated,2024-07-30,2024-09-17,Voluntary,Full-Time,1
445,Mrs. Stacey Davis,sean43@example.org,Active,2023-12-24,,,Full-Time,1
446,Hayley Buchanan,williamssamuel@example.com,Terminated,2025-02-20,2025-04-03,Voluntary,Full-Time,1
447,Stacey Snyder,ybell@example.org,Terminated,2021-01-19,2021-12-28,Voluntary,Full-Time,1
448,Rachel Lane,franciscojones@example.org,Active,2024-10-05,,,Full-Time,1
449,Fernando Lynn,petersonpamela@example.org,Active,2025-05-09,,,Full-Time,1
450,Kimberly Villanueva,morgantricia@example.com,Active,2024-12-31,,,Full-Time,1
451,Jessica Valdez,gmoore@example.com,Active,2025-07-31,,,Part-Time,1
452,Colton Terry,donna43@example.org,Terminated,2025-06-30,2025-11-11,Involuntary,Full-Time,1
453,Kenneth Larsen,briansmith@example.org,Active,2025-05-26,,,Full-Time,1
454,Matthew Greene,collinclark@example.net,Active,2025-11-20,,,Full-Time,1
455,Bradley Anthony,kristen77@example.net,Active,2025-08-12,,,Full-Time,1
456,Martin Hughes,nicole52@example.com,Terminated,2022-08-05,2025-09-18,Voluntary,Contractor,1
457,Jeremiah Baker,anne21@example.org,Active,2023-03-16,,,Full-Time,1
458,Rhonda Gutierrez,angelarandall@example.net,Terminated,2023-10-10,2023-12-30,Voluntary,Full-Time,1
459,Joseph Camacho,parmstrong@example.com,Terminated,2023-10-17,2024-08-14,Voluntary,Full-Time,1
460,James Nash,shawrachel@example.net,Terminated,2024-04-04,2024-10-28,Involuntary,Full-Time,1
461,Lisa Martinez,kthompson@example.org,Active,2022-04-12,,,Full-Time,1
462,Beth Henderson,oharris@example.org,Active,2023-08-10,,,Full-Time,1
463,Deanna Bartlett,millerangela@example.net,Active,2025-02-23,,,Full-Time,1
464,Donald Ellis,buchanancindy@example.net,Terminated,2024-03-02,2024-03-23,Voluntary,Full-Time,1
465,Ashley Hernandez,buckleyanna@example.org,Active,2022-07-09,,,Part-Time,1
466,Sharon Beard,pbaker@example.com,Active,2025-05-15,,,Full-Time,1
467,Kara Jackson,mthomas@example.net,Active,2025-08-10,,,Full-Time,1
468,Amanda Preston,hannah07@example.com,Terminated,2022-01-18,2024-11-29,Voluntary,Full-Time,1
469,Alicia Roth,larry71@example.org,Active,2025-06-23,,,Full-Time,1
470,William Ramos,joseph69@example.net,Active,2025-07-24,,,Contractor,1
471,Jeremy Mcintyre,wfigueroa@example.net,Active,2023-01-24,,,Full-Time,1
472,Samantha Robertson,cameronmckinney@example.com,Terminated,2021-07-20,2022-08-14,Involuntary,Contractor,1
473,Samuel Suarez,thompsonnancy@example.org,Terminated,2020-02-23,2021-07-30,Involuntary,Full-Time,1
474,Danielle Bryant,janet45@example.com,Active,2025-03-12,,,Full-Time,1
475,Madison Martinez,allentracy@example.com,Active,2020-02-20,,,Full-Time,1
476,Seth Matthews,max41@example.com,Active,2025-01-05,,,Full-Time,1
477,Anthony Nash,mercedesholland@example.net,Active,2025-10-23,,,Part-Time,1
478,Matthew Palmer,wellsdavid@example.org,Active,2024-06-05,,,Contractor,1
479,Alejandra King,jennifer46@example.com,Terminated,2022-01-06,2022-02-01,Involuntary,Full-Time,1
480,Judy Robinson,erica96@example.net,Active,2025-02-19,,,Full-Time,1
481,Jorge Bates,anna99@example.com,Active,2025-01-20,,,Part-Time,1
482,Brian Brown,danielle44@example.net,Active,2024-10-08,,,Full-Time,1
483,Stephanie Evans,zacharyallen@example.org,Active,2025-10-01,,,Full-Time,1
484,Rebekah Greene,erin07@example.com,Active,2025-06-25,,,Full-Time,1
485,Jason Price,aguilarwanda@example.org,Active,2025-07-19,,,Full-Time,1
486,Micheal Parks,qknox@example.com,Active,2025-08-31,,,Full-Time,1
487,Sarah Pittman,kellyruiz@example.net,Active,2023-08-24,,,Part-Time,1
488,Robert Hines,staceylam@example.net,Active,2025-01-03,,,Full-Time,1
489,Henry Garner,robert55@example.com,Active,2025-01-28,,,Part-Time,1
490,Julie Wilson,delacruzbrandy@example.net,Terminated,2024-10-26,2025-01-22,Voluntary,Full-Time,1
491,Steve Mason,amoreno@example.org,Active,2024-09-13,,,Full-Time,1
492,Brittany Gay,robert97@example.org,Active,2024-03-07,,,Full-Time,1
493,Mike Maxwell,lcook@example.com,Active,2025-09-03,,,Contractor,1
494,Abigail Hill,barbaramoore@example.org,Active,2024-09-27,,,Part-Time,1
495,Jeffrey Jordan,ysanford@example.org,Terminated,2024-01-24,2025-06-07,Voluntary,Full-Time,1
496,Curtis Watson,mcclainkatherine@example.net,Active,2024-05-21,,,Full-Time,1
497,Michael Sims,jeremywiley@example.com,Active,2024-05-12,,,Full-Time,1
498,James Chapman,cameronwilliams@example.com,Active,2024-02-20,,,Full-Time,1
499,Joseph Warren,ibarron@example.com,Active,2025-08-17,,,Full-Time,1
500,Katherine Christensen MD,osmith@example.net,Terminated,2024-04-01,2024-06-05,Involuntary,Full-Time,1
